uri,track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,tempo
spotify:track:0UXlu64mDLvfzR8IXMz06J,Ya No Somos Ni Seremos,Christian Nodal,37,5,0.588,0.452,G,-4.75,Major,0.0268,0.437,139.953
spotify:track:0G2zPzWqVjR68iNPmx2TBe,Volando - Remix,"Mora, Bad Bunny, Sech",19,37,0.659,0.688,F#,-4.649,Major,0.0673,0.207,153.979
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,117,54,0.664,0.705,C#,-4.972,Minor,0.0382,0.0654,122.016
spotify:track:3GaGWoU1KfVqgl7vnRHP55,Demasiadas Mujeres,C. Tangana,127,3,0.658,0.453,A,-7.378,Minor,0.39,0.131,126.043
spotify:track:0gucTLf7trAf37Ua1uAyAu,Smells Like Teen Spirit,Nirvana,109,63,0.489,0.918,C#,-4.502,Major,0.0554,3.53e-05,116.731
spotify:track:2J2Z1SkXYghSajLibnQHOa,Unstoppable,Sia,112,6,0.468,0.779,A,-4.839,Major,0.0779,0.112,173.799
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,130,20,0.76,0.703,F,-5.412,Major,0.054,0.103,95.997
spotify:track:3Oww84xrmgjyr5J1ilOmAf,Down Under (feat. Colin Hay),"Luude, Colin Hay",72,10,0.308,0.86,B,-4.111,Minor,0.168,0.0116,171.835
spotify:track:5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,99,76,0.588,0.521,A#,-9.461,Major,0.0329,0.0678,85.012
spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Locked out of Heaven,Bruno Mars,111,12,0.728,0.697,F,-4.125,Major,0.0456,0.0556,143.986
spotify:track:4xkOaSrkexMciUUogZKVTS,'Till I Collapse,"Eminem, Nate Dogg",81,39,0.548,0.847,C#,-3.237,Major,0.186,0.0622,171.447
spotify:track:1nH2PkJL1XoUq8oE6tBZoU,Sacrifice,The Weeknd,3,11,0.735,0.795,B,-6.523,Minor,0.113,0.0296,122.0
spotify:track:1XGmzt0PVuFgQYYnV2It7A,Payphone,"Maroon 5, Wiz Khalifa",136,14,0.743,0.752,E,-4.813,Major,0.0414,0.0188,110.015
spotify:track:0fea68AdmYNygeTGI4RC18,LA CANCIÓN,"J Balvin, Bad Bunny",17,64,0.754,0.646,G,-5.795,Major,0.317,0.152,176.089
spotify:track:0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,WILLOW,138,1,0.764,0.705,D#,-5.279,Minor,0.0278,0.0371,101.003
spotify:track:1ojBtNRMzjL7ptLPZCzfRz,Thinking with My Dick (feat. Juicy J),"Kevin Gates, Juicy J",128,2,0.77,0.699,C,-6.59,Major,0.199,0.0596,81.003
spotify:track:7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,1,269,0.825,0.652,C#,-3.183,Minor,0.0802,0.581,95.977
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,44,54,0.527,0.835,F#,-5.298,Major,0.0433,0.0166,125.983
spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,"Coolio, L.V.",116,22,0.647,0.514,G#,-10.05,Major,0.0593,0.0655,79.975
spotify:track:6K5ph5mq1qprHae3TrgTj5,"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,23,12,0.652,0.583,D,-8.302,Major,0.322,0.0165,180.042
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,122,64,0.484,0.731,C#,-6.694,Major,0.0379,0.431,101.654
spotify:track:0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),Doja Cat,36,34,0.912,0.655,G#,-6.029,Minor,0.162,0.315,91.942
spotify:track:6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",32,23,0.717,0.671,C,-5.077,Minor,0.0337,0.0018,110.054
spotify:track:4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,Queen,11,182,0.414,0.404,C,-9.928,Minor,0.0499,0.271,71.105
spotify:track:48QmG1dfvMuYLxMPt7KSRA,No Lie,"Sean Paul, Dua Lipa",80,34,0.742,0.882,G,-2.862,Major,0.117,0.0466,102.04
spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,Zé Felipe,58,7,0.894,0.859,F,-2.981,Minor,0.0471,0.159,134.947
spotify:track:0bI7K9Becu2dtXK1Q3cZNB,Don't Be Shy,"Tiësto, KAROL G",38,32,0.77,0.787,B,-3.748,Minor,0.0583,0.198,119.986
spotify:track:0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,4,262,0.599,0.448,G#,-6.312,Major,0.0232,0.163,95.05
spotify:track:6hH6QJ9ZAO0Z6m7PfvLoXW,CHICKEN TERIYAKI,ROSALÍA,152,1,0.788,0.4,D,-6.454,Major,0.115,0.454,97.936
spotify:track:1zi7xx7UVEFkmKfv06H8x0,One Dance,"Drake, WizKid, Kyla",12,120,0.792,0.625,C#,-5.609,Major,0.0536,0.00776,103.967
spotify:track:2BEcap3xJtmiPaHKyfQi4e,Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",40,28,0.734,0.846,A,-3.425,Minor,0.0489,0.166,98.026
spotify:track:4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),"24kGoldn, iann dior",1,85,0.701,0.716,G,-3.671,Minor,0.0361,0.174,91.007
spotify:track:003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,98,87,0.352,0.911,C#,-5.23,Major,0.0747,0.00121,148.033
